,YKR_ID,zipcode
0,5785640,01760
1,5785641,01760
2,5785642,01760
3,5785643,01760
4,5787544,01760
5,5787545,01760
6,5787546,01760
7,5787547,01760
8,5787548,01760
9,5787549,01760
10,5787550,01760
11,5789447,01760
12,5789448,01760
13,5789449,01760
14,5789450,01760
15,5789451,01760
16,5789452,01760
17,5789453,01760
18,5789454,01760
19,5789455,01760
20,5789456,01760
21,5791353,01760
22,5791354,01760
23,5791355,01760
24,5791356,01760
25,5791357,01760
26,5791358,01760
27,5791359,01760
28,5791360,01760
29,5791361,01760
30,5791362,01760
31,5791363,01760
32,5793258,01760
33,5793259,01760
34,5793260,01760
35,5793261,01760
36,5793262,01760
37,5793263,01760
38,5793264,01760
39,5793265,01760
40,5793266,01760
41,5793267,01760
42,5793268,01760
43,5793269,01760
44,5793270,99999
45,5795164,01760
46,5795165,01760
47,5795166,01760
48,5795167,01760
49,5795168,01760
50,5795169,01760
51,5795170,01760
52,5795171,01760
53,5795172,01760
54,5795173,01760
55,5795174,01760
56,5795175,01760
57,5795176,01760
58,5797069,01760
59,5797070,01760
60,5797071,01760
61,5797072,01760
62,5797073,01760
63,5797074,01760
64,5797075,01760
65,5797076,01760
66,5797077,01760
67,5797078,01760
68,5797079,01760
69,5797080,01760
70,5797081,01760
71,5797082,01760
72,5798974,01760
73,5798975,01760
74,5798976,01760
75,5798977,01760
76,5798978,01760
77,5798979,01760
78,5798980,01760
79,5798981,01760
80,5798982,01760
81,5798983,01760
82,5798984,01760
83,5798985,01760
84,5798986,01760
85,5798987,01760
86,5798988,01760
87,5800879,99999
88,5800880,01760
89,5800881,01760
90,5800882,01760
91,5800883,01760
92,5800884,01760
93,5800885,01760
94,5800886,01760
95,5800887,01760
96,5800888,01760
97,5800889,01760
98,5800890,01760
99,5800891,01760
100,5800892,01760
101,5800893,01760
102,5800894,99999
103,5800895,99999
104,5802783,99999
105,5802784,99999
106,5802785,01760
107,5802786,01760
108,5802787,01760
109,5802788,01760
110,5802789,01760
111,5802790,01760
112,5802791,01760
113,5802792,01760
114,5802793,01760
115,5802794,01760
116,5802795,01760
117,5802796,01760
118,5802797,01760
119,5802798,01760
120,5802799,01760
121,5802800,01760
122,5802801,99999
123,5804689,99999
124,5804690,99999
125,5804691,01760
126,5804692,01760
127,5804693,01760
128,5804694,01760
129,5804695,01760
130,5804696,01760
131,5804697,01760
132,5804698,01760
133,5804699,01760
134,5804700,01760
135,5804701,01760
136,5804702,01760
137,5804703,01760
